Comment : 
Probe   : 
FileName: B54CIS01.DAT
Fileform:      7
Date    : 14.05.99  11:57:22
Program : EMP
Version :       3.1
MeasTime:      0.0000
ScanTime:    948.6785
MeasTyp : CFS
Analys. :      1
Scans   :      1
Points  :    801
MonSta  :    270.0000
MonEnd  :    350.0000
AnaSta  :    200.0000
AnaEnd  :    600.0000
AnaRange:   1000.0000
AnaMin  :    100.0000
DACsta  :      0.0000
DACend  :     10.0000
DeltaE  :      0.0248
MonSpeed:    500.0000
ScanCtrl: ENERGY
DelayVal:      0.0000
SecMeas : FALSE
ChanType: MEASURE , MEASURE
Devices :        DMM1 , TIME: 5.00000E-02 , MODE:1 , RANGE:3 , AVERAGE:20 , TRIGGER:1
             COUNTER1 , TIME: 1.00000E-03 , MODE:0 , RANGE:0 , AVERAGE:1 , TRIGGER:2
DATAVALUE:
BEGIN:
 2.70000E+02  7.02300E-01  0.00000E+00 
 2.70100E+02  6.91462E-01  0.00000E+00 
 2.70200E+02  6.89425E-01  0.00000E+00 
 2.70299E+02  6.91650E-01  0.00000E+00 
 2.70399E+02  6.87662E-01  0.00000E+00 
 2.70500E+02  6.84275E-01  0.00000E+00 
 2.70600E+02  6.82962E-01  0.00000E+00 
 2.70700E+02  6.85212E-01  0.00000E+00 
 2.70799E+02  6.83625E-01  0.00000E+00 
 2.70899E+02  6.79450E-01  0.00000E+00 
 2.71000E+02  6.88950E-01  0.00000E+00 
 2.71100E+02  6.77787E-01  0.00000E+00 
 2.71200E+02  6.74587E-01  0.00000E+00 
 2.71299E+02  6.76312E-01  0.00000E+00 
 2.71399E+02  6.72775E-01  0.00000E+00 
 2.71500E+02  6.70825E-01  0.00000E+00 
 2.71600E+02  6.68450E-01  0.00000E+00 
 2.71700E+02  6.67137E-01  0.00000E+00 
 2.71799E+02  6.67637E-01  0.00000E+00 
 2.71899E+02  6.64137E-01  0.00000E+00 
 2.72000E+02  6.63200E-01  0.00000E+00 
 2.72100E+02  6.60262E-01  0.00000E+00 
 2.72200E+02  6.60237E-01  0.00000E+00 
 2.72299E+02  6.60762E-01  0.00000E+00 
 2.72399E+02  6.55925E-01  0.00000E+00 
 2.72500E+02  6.54750E-01  0.00000E+00 
 2.72600E+02  6.51737E-01  0.00000E+00 
 2.72700E+02  6.53462E-01  0.00000E+00 
 2.72799E+02  6.52962E-01  0.00000E+00 
 2.72899E+02  6.48512E-01  0.00000E+00 
 2.73000E+02  6.47800E-01  0.00000E+00 
 2.73100E+02  6.44937E-01  0.00000E+00 
 2.73200E+02  6.43612E-01  0.00000E+00 
 2.73299E+02  6.44850E-01  0.00000E+00 
 2.73399E+02  6.39987E-01  0.00000E+00 
 2.73500E+02  6.38812E-01  0.00000E+00 
 2.73600E+02  6.36650E-01  0.00000E+00 
 2.73700E+02  6.35400E-01  0.00000E+00 
 2.73799E+02  6.37012E-01  0.00000E+00 
 2.73899E+02  6.33462E-01  0.00000E+00 
 2.74000E+02  6.31687E-01  0.00000E+00 
 2.74100E+02  6.28487E-01  0.00000E+00 
 2.74200E+02  6.26725E-01  0.00000E+00 
 2.74299E+02  6.28962E-01  0.00000E+00 
 2.74399E+02  6.24375E-01  0.00000E+00 
 2.74500E+02  6.23562E-01  0.00000E+00 
 2.74600E+02  6.20537E-01  0.00000E+00 
 2.74700E+02  6.17487E-01  0.00000E+00 
 2.74799E+02  6.17175E-01  0.00000E+00 
 2.74899E+02  6.15187E-01  0.00000E+00 
 2.75000E+02  6.14675E-01  0.00000E+00 
 2.75100E+02  6.11925E-01  0.00000E+00 
 2.75200E+02  6.08187E-01  0.00000E+00 
 2.75299E+02  6.10337E-01  0.00000E+00 
