Comment  : 
Probe    : 
CfgTyp   : $628
Fileform : $BF
Date     : 08.01.2013  01:48:48
Program  : EMP/2-M
Version  : 00.4A1
MeasTyp  : CFS
Analys.  : 1
Scans    : 1
Points   : 173
MonSta   :  4.005000000E+02
MonEnd   :  4.030000000E+02
AnaSta   :  2.000000000E+02
AnaEnd   :  6.000000000E+02
AnaRange :  1.000000000E+04
AnaMin   :  0.000000000E+00
DacSta   :  0.000000000E+00
DacEnd   :  1.000000000E+01
DeltaE   :  0.000000000E+00
MonName  : TGM1
MonType  : 1
MonUnit  : Step/S
MonSpeed :  5.000000000E+02
MonRewind:  0.000000000E+00
MonSweep :  2.000000000E+00
IdPos    :  3.615650000E+01
IdMode   : 0
LiveTime :  0.000000000E+00
DeadTime :  8.000000000E-03
MeasTime :  0.000000000E+00
ScanTime :  1.707873650E+02
ScanCtrl : ENERGY
DelayVal :  0.000000000E+00
SecMeas  : FALSE
XMonFile : 
XAnaFile : 
P_TakeUp : TRUE
ChanOrder: 1,2
Devices  : NAME=KEITHLEY@11,TIME= 1.00000E+00,MODE=1,RANGE=1,AVERAGE=0,TRIGGER=1,OPEN=256,UNIT=Ampere
Display  : COLOR=$FF0000,TYPE=19,LINE=0,POINT=0,WINNR=1,NAME=
           COLOR=$008000,TYPE=19,LINE=0,POINT=0,WINNR=1,NAME=
Arithm.  : OFFS= 0.000000000E+00,OFFS2= 0.000000000E+00,FUNC=$0,FINR=$0,VAL1=$0,VAL2=$0,OPER=$0,BITS=$0,NAME=STDMATH
           OFFS= 0.000000000E+00,OFFS2= 0.000000000E+00,FUNC=$0,FINR=$0,VAL1=$0,VAL2=$0,OPER=$0,BITS=$0,NAME=STDMATH
DATAVALUE:
BEGIN
 4.0050000E+02 -9.833113E-12  2.984800E+02
 4.0051000E+02 -9.707481E-12  2.984710E+02
 4.0052000E+02 -8.032375E-12  2.984600E+02
 4.0053000E+02 -7.733250E-12  2.984520E+02
 4.0054000E+02 -8.590741E-12  2.984400E+02
 4.0055000E+02 -9.980684E-12  2.984300E+02
 4.0056000E+02 -1.246940E-11  2.984210E+02
 4.0057000E+02 -1.024590E-11  2.984120E+02
 4.0058000E+02 -9.863021E-12  2.984010E+02
 4.0059000E+02 -9.496097E-12  2.983920E+02
 4.0060000E+02 -8.721363E-12  2.983830E+02
 4.0061000E+02 -6.597569E-12  2.983730E+02
 4.0062000E+02 -5.633386E-12  2.983640E+02
 4.0063000E+02 -7.294526E-12  2.983530E+02
 4.0064000E+02 -6.910654E-12  2.983440E+02
 4.0065000E+02 -8.214839E-12  2.983340E+02
 4.0066000E+02 -5.482824E-12  2.983240E+02
 4.0067000E+02 -3.215453E-12  2.983130E+02
 4.0068000E+02 -5.483826E-12  2.983030E+02
 4.0069000E+02 -1.595188E-12  2.982940E+02
 4.0070000E+02 -3.686077E-12  2.982850E+02
 4.0071000E+02 -4.288316E-12  2.982750E+02
 4.0072000E+02 -6.414103E-12  2.982660E+02
 4.0073000E+02  1.285314E-12  2.982540E+02
 4.0074000E+02 -5.921203E-13  2.982430E+02
 4.0075000E+02 -8.035024E-13  2.982350E+02
 4.0076000E+02  5.904536E-12  2.982250E+02
 4.0077000E+02  4.174697E-12  2.982140E+02
 4.0078000E+02  3.952358E-12  2.982040E+02
 4.0079000E+02  1.031339E-11  2.981960E+02
 4.0080000E+02  8.704188E-12  2.981860E+02
 4.0081000E+02  1.465145E-11  2.981770E+02
 4.0082000E+02  1.900846E-11  2.981840E+02
 4.0083000E+02  2.974544E-11  2.983000E+02
 4.0084000E+02  2.920206E-11  2.984940E+02
 4.0085000E+02  3.888918E-11  2.984830E+02
 4.0086000E+02  4.293012E-11  2.984740E+02
 4.0087000E+02  4.840878E-11  2.984640E+02
 4.0088000E+02  5.090535E-11  2.984550E+02
 4.0089000E+02  5.386550E-11  2.984420E+02
 4.0090000E+02  5.398215E-11  2.984330E+02
 4.0091000E+02  5.383161E-11  2.984220E+02
 4.0092000E+02  5.137496E-11  2.984120E+02
 4.0093000E+02  4.838485E-11  2.984010E+02
 4.0094000E+02  4.390821E-11  2.983920E+02
 4.0095000E+02  4.160208E-11  2.983820E+02
 4.0096000E+02  3.798687E-11  2.983720E+02
 4.0097000E+02  3.550525E-11  2.983630E+02
 4.0098000E+02  3.232973E-11  2.983510E+02
 4.0099000E+02  3.053308E-11  2.983420E+02
 4.0100000E+02  3.075543E-11  2.983310E+02
 4.0101000E+02  2.861581E-11  2.983220E+02
 4.0102000E+02  2.756296E-11  2.983120E+02
 4.0103000E+02  3.062680E-11  2.983020E+02
 4.0104000E+02  3.144337E-11  2.982910E+02
 4.0105000E+02  3.472161E-11  2.982800E+02
 4.0106000E+02  3.751724E-11  2.982720E+02
 4.0107000E+02  4.177655E-11  2.982610E+02
 4.0108000E+02  4.587034E-11  2.982490E+02
 4.0109000E+02  5.246069E-11  2.982400E+02
 4.0110000E+02  5.480470E-11  2.982290E+02
 4.0111000E+02  5.737999E-11  2.982180E+02
 4.0112000E+02  5.784066E-11  2.982090E+02
 4.0113000E+02  5.627033E-11  2.982140E+02
 4.0114000E+02  5.730826E-11  2.985260E+02
 4.0115000E+02  5.448964E-11  2.985160E+02
 4.0116000E+02  4.920743E-11  2.985060E+02
 4.0117000E+02  4.473973E-11  2.984960E+02
 4.0118000E+02  4.057716E-11  2.984850E+02
 4.0119000E+02  3.627198E-11  2.984730E+02
 4.0120000E+02  3.123699E-11  2.984630E+02
 4.0121000E+02  2.816415E-11  2.984540E+02
 4.0122000E+02  2.231559E-11  2.984430E+02
 4.0123000E+02  2.087589E-11  2.984320E+02
