z:\sample116.vms
Si 2p
	Characteristic Energy eV	1486.6	Acquisition Time s	3
KE_Si 2p	BE_Si 2p	CPS_Si 2p	Si 2p_1_Si 2p	Si 2p_2_Si 2p	Background_Si 2p	Envelope_Si 2p
1376.69	109.91	165.333	165.333	165.333	165.333	165.333
1376.72	109.885	172	172	172	172	172
1376.74	109.86	181.333	181.333	181.333	181.333	181.333
1376.77	109.835	164	164	164	164	164
1376.79	109.81	163.667	163.667	163.667	163.667	163.667
1376.82	109.785	171.667	171.667	171.667	171.667	171.667
1376.84	109.76	167	167	167	167	167
1376.87	109.735	159.333	159.333	159.333	159.333	159.333
1376.89	109.71	146.667	146.667	146.667	146.667	146.667
1376.92	109.685	165.333	165.333	165.333	165.333	165.333
1376.94	109.66	166	166	166	166	166
1376.97	109.635	167.667	167.667	167.667	167.667	167.667
1376.99	109.61	161.333	161.333	161.333	161.333	161.333
1377.02	109.585	170	170	170	170	170
1377.04	109.56	151.333	151.333	151.333	151.333	151.333
1377.07	109.535	157	157	157	157	157
1377.09	109.51	167.333	167.333	167.333	167.333	167.333
1377.12	109.485	159.333	159.333	159.333	159.333	159.333
1377.14	109.46	167.333	167.333	167.333	167.333	167.333
1377.17	109.435	162	162	162	162	162
1377.19	109.41	157	157	157	157	157
1377.22	109.385	163	163	163	163	163
1377.24	109.36	155	155	155	155	155
1377.27	109.335	158.667	158.667	158.667	158.667	158.667
1377.29	109.31	158.667	158.667	158.667	158.667	158.667
1377.32	109.285	165.667	165.667	165.667	165.667	165.667
1377.34	109.26	148	148	148	148	148
1377.37	109.235	161	161	161	161	161
1377.39	109.21	159	159	159	159	159
1377.42	109.185	148.667	148.667	148.667	148.667	148.667
1377.44	109.16	152	152	152	152	152
1377.47	109.135	162	162	162	162	162
1377.49	109.11	162.667	162.667	162.667	162.667	162.667
1377.52	109.085	150.667	150.667	150.667	150.667	150.667
1377.54	109.06	144.667	144.667	144.667	144.667	144.667
1377.57	109.035	151	151	151	151	151
1377.59	109.01	149.333	149.333	149.333	149.333	149.333
1377.62	108.985	140.667	140.667	140.667	140.667	140.667
1377.64	108.96	151.667	151.667	151.667	151.667	151.667
1377.67	108.935	154	154	154	154	154
1377.69	108.91	156	156	156	156	156
1377.72	108.885	174	174	174	174	174
1377.74	108.86	155	155	155	155	155
1377.77	108.835	152	152	152	152	152
1377.79	108.81	162	162	162	162	162
1377.82	108.785	162.667	162.667	162.667	162.667	162.667
1377.84	108.76	151	151	151	151	151
1377.87	108.735	150.667	150.667	150.667	150.667	150.667
1377.89	108.71	160.333	160.333	160.333	160.333	160.333
1377.92	108.685	142.667	142.667	142.667	142.667	142.667
1377.94	108.66	146.333	146.333	146.333	146.333	146.333
1377.97	108.635	141	141	141	141	141
1377.99	108.61	153	153	153	153	153
1378.02	108.585	148	148	148	148	148
1378.04	108.56	148.667	148.667	148.667	148.667	148.667
1378.07	108.535	144.333	144.333	144.333	144.333	144.333
1378.09	108.51	139.667	139.667	139.667	139.667	139.667
1378.12	108.485	151	151	151	151	151
1378.14	108.46	163	163	163	163	163
1378.17	108.435	150	150	150	150	150
1378.19	108.41	153.333	153.333	153.333	153.333	153.333
1378.22	108.385	155.333	155.333	155.333	155.333	155.333
1378.24	108.36	148	148	148	148	148
1378.27	108.335	150	150	150	150	150
1378.29	108.31	157.667	157.667	157.667	157.667	157.667
1378.32	108.285	154.333	154.333	154.333	154.333	154.333
1378.34	108.26	152	152	152	152	152
1378.37	108.235	144	144	144	144	144
1378.39	108.21	152.333	152.333	152.333	152.333	152.333
1378.42	108.185	157.667	157.667	157.667	157.667	157.667
1378.44	108.16	145.667	145.667	145.667	145.667	145.667
1378.47	108.135	135	135	135	135	135
1378.49	108.11	151.333	151.333	151.333	151.333	151.333
1378.52	108.085	149	149	149	149	149
1378.54	108.06	150.333	150.333	150.333	150.333	150.333
1378.57	108.035	160.333	160.333	160.333	160.333	160.333
1378.59	108.01	145.333	145.333	145.333	145.333	145.333
1378.62	107.985	145	145	145	145	145
1378.64	107.96	139	139	139	139	139
1378.67	107.935	148.333	148.333	148.333	148.333	148.333
1378.69	107.91	153.333	153.333	153.333	153.333	153.333
1378.72	107.885	156	156	156	156	156
1378.74	107.86	143.333	143.333	143.333	143.333	143.333
1378.77	107.835	149	149	149	149	149
1378.79	107.81	134.667	134.667	134.667	134.667	134.667
1378.82	107.785	133	133	133	133	133
1378.84	107.76	134.333	134.333	134.333	134.333	134.333
1378.87	107.735	133	133	133	133	133
1378.89	107.71	142.667	142.667	142.667	142.667	142.667
1378.92	107.685	132.667	132.667	132.667	132.667	132.667
1378.94	107.66	138.333	138.333	138.333	138.333	138.333
1378.97	107.635	141.333	141.333	141.333	141.333	141.333
1378.99	107.61	140	140	140	140	140
1379.02	107.585	142.333	142.333	142.333	142.333	142.333
1379.04	107.56	156.333	156.333	156.333	156.333	156.333
1379.07	107.535	159.667	159.667	159.667	159.667	159.667
1379.09	107.51	146	146	146	146	146
1379.12	107.485	132.333	132.333	132.333	132.333	132.333
1379.14	107.46	135.333	135.333	135.333	135.333	135.333
1379.17	107.435	136.333	136.333	136.333	136.333	136.333
1379.19	107.41	140.667	140.667	140.667	140.667	140.667
1379.22	107.385	136.333	136.333	136.333	136.333	136.333
1379.24	107.36	148.333	148.333	148.333	148.333	148.333
1379.27	107.335	142	142	142	142	142
1379.29	107.31	141	141	141	141	141
1379.32	107.285	134.333	134.333	134.333	134.333	134.333
1379.34	107.26	137.667	137.667	137.667	137.667	137.667
1379.37	107.235	145.333	145.333	145.333	145.333	145.333
1379.39	107.21	150	150	150	150	150
1379.42	107.185	137.333	137.333	137.333	137.333	137.333
1379.44	107.16	143.333	143.333	143.333	143.333	143.333
1379.47	107.135	140	140	140	140	140
1379.49	107.11	145	145	145	145	145
1379.52	107.085	132	132	132	132	132
1379.54	107.06	133.667	133.667	133.667	133.667	133.667
1379.57	107.035	139.667	139.667	139.667	139.667	139.667
1379.59	107.01	134.667	134.667	134.667	134.667	134.667
1379.62	106.985	126.667	126.667	126.667	126.667	126.667
1379.64	106.96	136	136	136	136	136
1379.67	106.935	135.667	135.667	135.667	135.667	135.667
1379.69	106.91	127	127	127	127	127
1379.72	106.885	130.333	130.333	130.333	130.333	130.333
1379.74	106.86	134	134	134	134	134
1379.77	106.835	129.333	129.333	129.333	129.333	129.333
1379.79	106.81	136	136	136	136	136
1379.82	106.785	132.667	132.667	132.667	132.667	132.667
1379.84	106.76	131	131	131	131	131
1379.87	106.735	139	139	139	139	139
1379.89	106.71	134.667	134.667	134.667	134.667	134.667
1379.92	106.685	126.667	126.667	126.667	126.667	126.667
1379.94	106.66	126	126	126	126	126
1379.97	106.635	123	123	123	123	123
1379.99	106.61	138.667	138.667	138.667	138.667	138.667
1380.02	106.585	137	137	137	137	137
1380.04	106.56	127	127	127	127	127
1380.07	106.535	135.333	135.333	135.333	135.333	135.333
1380.09	106.51	126.333	126.333	126.333	126.333	126.333
1380.12	106.485	125	125	125	125	125
1380.14	106.46	125.667	125.667	125.667	125.667	125.667
1380.17	106.435	121	121	121	121	121
1380.19	106.41	117.667	117.667	117.667	117.667	117.667
1380.22	106.385	127.333	127.333	127.333	127.333	127.333
1380.24	106.36	121.667	121.667	121.667	121.667	121.667
1380.27	106.335	124	124	124	124	124
1380.29	106.31	132	132	132	132	132
1380.32	106.285	130.333	130.333	130.333	130.333	130.333
1380.34	106.26	130	130	130	130	130
1380.37	106.235	123.667	123.667	123.667	123.667	123.667
1380.39	106.21	133.667	133.667	133.667	133.667	133.667
1380.42	106.185	113.667	113.667	113.667	113.667	113.667
1380.44	106.16	119.667	119.667	119.667	119.667	119.667
1380.47	106.135	131.667	131.667	131.667	131.667	131.667
1380.49	106.11	118.333	118.333	118.333	118.333	118.333
1380.52	106.085	119	119	119	119	119
1380.54	106.06	139	139	139	139	139
1380.57	106.035	126	126	126	126	126
1380.59	106.01	128	128	128	128	128
1380.62	105.985	125	125	125	125	125
1380.64	105.96	116.667	116.667	116.667	116.667	116.667
1380.67	105.935	124.333	124.333	124.333	124.333	124.333
1380.69	105.91	116	116	116	116	116
1380.72	105.885	128	128	128	128	128
1380.74	105.86	131	131	131	131	131
1380.77	105.835	122	122	122	122	122
1380.79	105.81	126.333	126.333	126.333	126.333	126.333
1380.82	105.785	122	122	122	122	122
1380.84	105.76	120.667	120.667	120.667	120.667	120.667
1380.87	105.735	122	122	122	122	122
1380.89	105.71	113	113	113	113	113
1380.92	105.685	104	104	104	104	104
1380.94	105.66	116	116	116	116	116
1380.97	105.635	115.333	115.333	115.333	115.333	115.333
1380.99	105.61	122	122	122	122	122
1381.02	105.585	118.333	118.333	118.333	118.333	118.333
1381.04	105.56	118	118	118	118	118
1381.07	105.535	115.333	115.333	115.333	115.333	115.333
1381.09	105.51	125.333	125.333	125.333	125.333	125.333
1381.12	105.485	122	122	122	122	122
1381.14	105.46	120.667	120.667	120.667	120.667	120.667
1381.17	105.435	118.333	118.333	118.333	118.333	118.333
1381.19	105.41	112.333	112.333	112.333	112.333	112.333
1381.22	105.385	109.667	109.667	109.667	109.667	109.667
1381.24	105.36	119.333	119.333	119.333	119.333	119.333
1381.27	105.335	116.667	116.667	116.667	116.667	116.667
1381.29	105.31	124.333	124.333	124.333	124.333	124.333
1381.32	105.285	126.333	126.333	126.333	126.333	126.333
1381.34	105.26	115.667	115.667	115.667	115.667	115.667
1381.37	105.235	110.667	110.667	110.667	110.667	110.667
1381.39	105.21	115	115	115	115	115
1381.42	105.185	119	119	119	119	119
1381.44	105.16	113	113	113	113	113
1381.47	105.135	109	109	109	109	109
1381.49	105.11	115.667	115.667	115.667	115.667	115.667
1381.52	105.085	111	111	111	111	111
1381.54	105.06	122.667	122.667	122.667	122.667	122.667
1381.57	105.035	107	107	107	107	107
1381.59	105.01	113	113	113	113	113
1381.62	104.985	126.333	126.333	126.333	126.333	126.333
1381.64	104.96	122.333	122.333	122.333	122.333	122.333
1381.67	104.935	114.667	114.667	114.667	114.667	114.667
1381.69	104.91	122.667	122.667	122.667	122.667	122.667
1381.72	104.885	111.333	111.333	111.333	111.333	111.333
1381.74	104.86	102.333	102.333	102.333	102.333	102.333
1381.77	104.835	106	106	106	106	106
1381.79	104.81	114.667	114.667	114.667	114.667	114.667
1381.82	104.785	107.667	107.667	107.667	107.667	107.667
1381.84	104.76	117.333	117.333	117.333	117.333	117.333
1381.87	104.735	112	112	112	112	112
1381.89	104.71	119	119	119	119	119
1381.92	104.685	114.667	114.667	114.667	114.667	114.667
1381.94	104.66	107.333	107.333	107.333	107.333	107.333
1381.97	104.635	111.333	111.333	111.333	111.333	111.333
1381.99	104.61	116	116	116	116	116
1382.02	104.585	111.333	111.333	111.333	111.333	111.333
1382.04	104.56	120.667	120.667	120.667	120.667	120.667
1382.07	104.535	119	119	119	119	119
1382.09	104.51	110.333	110.333	110.333	110.333	110.333
1382.12	104.485	115.667	115.667	115.667	115.667	115.667
1382.14	104.46	119	119	119	119	119
1382.17	104.435	125	125	125	125	125
1382.19	104.41	130	130	130	130	130
1382.22	104.385	127.667	127.667	127.667	127.667	127.667
1382.24	104.36	127	127	127	127	127
1382.27	104.335	122	122	122	122	122
1382.29	104.31	115.667	115.667	115.667	115.667	115.667
1382.32	104.285	114.667	114.667	114.667	114.667	114.667
1382.34	104.26	117.333	117.333	117.333	117.333	117.333
1382.37	104.235	130	130	130	130	130
1382.39	104.21	128.333	128.333	128.333	128.333	128.333
1382.42	104.185	114	114	114	114	114
1382.44	104.16	116.667	116.667	116.667	116.667	116.667
1382.47	104.135	125.667	125.667	125.667	125.667	125.667
1382.49	104.11	124	124	124	124	124
1382.52	104.085	126.333	126.333	126.333	126.333	126.333
1382.54	104.06	130	130	130	130	130
1382.57	104.035	132.667	132.667	132.667	132.667	132.667
1382.59	104.01	128.333	128.333	128.333	128.333	128.333
1382.62	103.985	117.333	117.333	117.333	117.333	117.333
1382.64	103.96	124.667	124.667	124.667	124.667	124.667
1382.67	103.935	118.333	118.333	118.333	118.333	118.333
1382.69	103.91	123	123	123	123	123
1382.72	103.885	112	112	112	112	112
1382.74	103.86	124.333	124.333	124.333	124.333	124.333
1382.77	103.835	123.667	123.667	123.667	123.667	123.667
1382.79	103.81	125.333	125.333	125.333	125.333	125.333
1382.82	103.785	122.667	122.667	122.667	122.667	122.667
1382.84	103.76	119.333	119.333	119.333	119.333	119.333
1382.87	103.735	122	122	122	122	122
1382.89	103.71	114.667	114.667	114.667	114.667	114.667
1382.92	103.685	119.333	119.333	119.333	119.333	119.333
1382.94	103.66	125.667	125.667	125.667	125.667	125.667
1382.97	103.635	121.667	121.667	121.667	121.667	121.667
1382.99	103.61	116.333	116.333	116.333	116.333	116.333
1383.02	103.585	121.667	121.667	121.667	121.667	121.667
1383.04	103.56	121.333	121.333	121.333	121.333	121.333
1383.07	103.535	108.333	108.333	108.333	108.333	108.333
1383.09	103.51	109.333	109.333	109.333	109.333	109.333
1383.12	103.485	116	116	116	116	116
1383.14	103.46	114	114	114	114	114
1383.17	103.435	118	118	118	118	118
1383.19	103.41	116.333	116.333	116.333	116.333	116.333
1383.22	103.385	122.333	122.333	122.333	122.333	122.333
1383.24	103.36	112	112	112	112	112
1383.27	103.335	119	119	119	119	119
1383.29	103.31	121	121	121	121	121
1383.32	103.285	122	122	122	122	122
1383.34	103.26	110.333	110.333	110.333	110.333	110.333
1383.37	103.235	113.333	113.333	113.333	113.333	113.333
1383.39	103.21	108.667	108.667	108.667	108.667	108.667
1383.42	103.185	102.333	102.333	102.333	102.333	102.333
1383.44	103.16	119.333	119.333	119.333	119.333	119.333
1383.47	103.135	109	109	109	109	109
1383.49	103.11	106.667	106.667	106.667	106.667	106.667
1383.52	103.085	105.667	105.667	105.667	105.667	105.667
1383.54	103.06	99.6667	99.6667	99.6667	99.6667	99.6667
1383.57	103.035	110.333	110.333	110.333	110.333	110.333
1383.59	103.01	118	118	118	118	118
1383.62	102.985	101.333	101.333	101.333	101.333	101.333
1383.64	102.96	111.667	111.667	111.667	111.667	111.667
1383.67	102.935	97.6667	97.6667	97.6667	97.6667	97.6667
1383.69	102.91	103.333	103.333	103.333	103.333	103.333
1383.72	102.885	95	95	95	95	95
1383.74	102.86	105.667	105.667	105.667	105.667	105.667
1383.77	102.835	94.6667	94.6667	94.6667	94.6667	94.6667
1383.79	102.81	98	98	98	98	98
1383.82	102.785	91.3333	91.3333	91.3333	91.3333	91.3333
1383.84	102.76	96.6667	96.6667	96.6667	96.6667	96.6667
1383.87	102.735	95	95	95	95	95
1383.89	102.71	90.3333	90.3333	90.3333	90.3333	90.3333
1383.92	102.685	87.6667	87.6667	87.6667	87.6667	87.6667
1383.94	102.66	95.3333	95.3333	95.3333	95.3333	95.3333
1383.97	102.635	82.6667	82.6667	82.6667	82.6667	82.6667
1383.99	102.61	88.6667	88.6667	88.6667	88.6667	88.6667
1384.02	102.585	81	81	81	81	81
1384.04	102.56	82.3333	82.3333	82.3333	82.3333	82.3333
1384.07	102.535	82.3333	82.3333	82.3333	82.3333	82.3333
1384.09	102.51	84.6667	84.6667	84.6667	84.6667	84.6667
1384.12	102.485	85	85	85	85	85
1384.14	102.46	91	91	91	91	91
1384.17	102.435	71.3333	71.3333	71.3333	71.3333	71.3333
1384.19	102.41	78.3333	78.3333	78.3333	78.3333	78.3333
1384.22	102.385	82	82	82	82	82
1384.24	102.36	76.6667	76.6667	76.6667	76.6667	76.6667
1384.27	102.335	79	79	79	79	79
1384.29	102.31	78.6667	78.6667	78.6667	78.6667	78.6667
1384.32	102.285	76	76	76	76	76
1384.34	102.26	67	67	67	67	67
1384.37	102.235	78	78	78	78	78
1384.39	102.21	78.3333	78.3333	78.3333	78.3333	78.3333
1384.42	102.185	82.3333	82.3333	82.3333	82.3333	82.3333
1384.44	102.16	76.6667	76.6667	76.6667	76.6667	76.6667
1384.47	102.135	65	65	65	65	65
1384.49	102.11	74.3333	74.3333	74.3333	74.3333	74.3333
1384.52	102.085	83	83	83	83	83
1384.54	102.06	66.6667	66.6667	66.6667	66.6667	66.6667
1384.57	102.035	67.3333	67.3333	67.3333	67.3333	67.3333
1384.59	102.01	67	67	67	67	67
1384.62	101.985	69.6667	69.6667	69.6667	69.6667	69.6667
1384.64	101.96	78.6667	78.6667	78.6667	78.6667	78.6667
1384.67	101.935	77.3333	77.3333	77.3333	77.3333	77.3333
1384.69	101.91	75.6667	75.6667	75.6667	75.6667	75.6667
1384.72	101.885	78	72.6648	72.6648	72.6648	72.6648
1384.74	101.86	64.3333	72.6619	72.6619	72.6619	72.6619
1384.77	101.835	73.3333	72.6617	72.6617	72.6617	72.6617
1384.79	101.81	73.3333	72.6614	72.6614	72.6614	72.6614
1384.82	101.785	76.3333	72.6601	72.6601	72.6601	72.6601
1384.84	101.76	74	72.6597	72.6597	72.6597	72.6597
1384.87	101.735	72	72.6594	72.6594	72.6594	72.6594
1384.89	101.71	69.6667	72.6584	72.6584	72.6584	72.6584
1384.92	101.685	70.3333	72.6576	72.6576	72.6576	72.6576
1384.94	101.66	68.6667	72.6562	72.6562	72.6562	72.6562
1384.97	101.635	74.6667	72.6555	72.6555	72.6555	72.6555
1384.99	101.61	69.6667	72.6544	72.6544	72.6544	72.6544
1385.02	101.585	76	72.6533	72.6533	72.6533	72.6533
1385.04	101.56	72.6667	72.6533	72.6533	72.6533	72.6533
1385.07	101.535	70.6667	72.6526	72.6526	72.6526	72.6526
1385.09	101.51	71	72.652	72.652	72.652	72.652
1385.12	101.485	67.6667	72.6503	72.6503	72.6503	72.6503
1385.14	101.46	77.3333	72.6486	72.6486	72.6486	72.6486
1385.17	101.435	76.3333	72.6473	72.6473	72.6473	72.6473
1385.19	101.41	73	72.6472	72.6472	72.6472	72.6472
1385.22	101.385	79.3333	72.6449	72.6449	72.6449	72.6449
1385.24	101.36	88	72.6395	72.6395	72.6395	72.6395
1385.27	101.335	80.6667	72.6367	72.6367	72.6367	72.6367
1385.29	101.31	78.6667	72.6346	72.6346	72.6346	72.6346
1385.32	101.285	87.3333	72.6294	72.6294	72.6294	72.6294
1385.34	101.26	72.3333	72.6293	72.6293	72.6293	72.6293
1385.37	101.235	84.3333	72.6253	72.6252	72.6252	72.6253
1385.39	101.21	91	72.6188	72.6188	72.6188	72.6188
1385.42	101.185	97.3333	72.6102	72.6102	72.6102	72.6102
1385.44	101.16	91	72.6038	72.6038	72.6038	72.6038
1385.47	101.135	99.3333	72.5945	72.5944	72.5944	72.5945
1385.49	101.11	92.3333	72.5877	72.5875	72.5875	72.5877
1385.52	101.085	86.6667	72.583	72.5826	72.5826	72.583
1385.54	101.06	109.667	72.5704	72.5696	72.5696	72.5704
1385.57	101.035	100	72.5616	72.56	72.56	72.5616
1385.59	101.01	104	72.5521	72.549	72.549	72.5521
1385.62	100.985	110	72.5417	72.5359	72.5359	72.5417
