# AE file: C:\AES\Matthias\WSe2_sputtered PE/volt cal. factor =        1. Y is volts 
00019.9735 -0010.0000 00246  001
00020.4648 -0010.0000 00252  001
00020.9561 -0010.0000 00258  001
00021.4475 -0010.0000 00264  001
00021.9388 -0010.0000 00270  001
00022.4301 -0010.0000 00276  001
00022.9214 -0010.0000 00282  001
00023.4127 -0010.0000 00288  001
00023.9040 -0010.0000 00294  001
00024.3953 -0010.0000 00300  001
00024.8866 -0010.0000 00306  001
00025.3779 -0010.0000 00312  001
00025.8692 -0010.0000 00318  001
00026.3605 -0010.0000 00324  001
00026.8518 -0010.0000 00330  001
00027.3431 -0010.0000 00336  001
00027.8344 -0010.0000 00342  001
00028.3257 -0010.0000 00348  001
00028.8170 -0010.0000 00354  001
00029.3083 -0010.0000 00360  001
00029.7996 -0010.0000 00366  001
00030.2909 -0010.0000 00372  001
00030.7822 -0010.0000 00378  001
00031.2735 -0010.0000 00384  001
00031.7648 -0010.0000 00390  001
00032.2561 -0010.0000 00396  001
00032.7474 -0010.0000 00402  001
00033.2387 -0010.0000 00408  001
00033.7300 -0010.0000 00414  001
00034.2213 -0010.0000 00420  001
00034.7126 -0009.7018 00426  001
00035.2039 -0009.1354 00432  001
00035.6952 -0008.5733 00438  001
00036.1865 -0008.0637 00444  001
00036.6778 -0007.5558 00450  001
00037.1691 -0007.0776 00456  001
00037.6604 -0006.6479 00462  001
00038.1517 -0006.2448 00468  001
00038.6431 -0005.8746 00474  001
00039.1344 -0005.5353 00480  001
00039.6257 -0005.2386 00486  001
00040.1170 -0004.9567 00492  001
00040.6083 -0004.6933 00498  001
00041.0996 -0004.4727 00504  001
00041.5909 -0004.2612 00510  001
00042.0822 -0004.0662 00516  001
00042.5735 -0003.8889 00522  001
00043.0648 -0003.7140 00528  001
00043.5561 -0003.5532 00534  001
00044.0474 -0003.3939 00540  001
00044.5387 -0003.2416 00546  001
00045.0300 -0003.1055 00552  001
00045.5213 -0002.9663 00558  001
00046.0126 -0002.8391 00564  001
00046.5039 -0002.7142 00570  001
00046.9952 -0002.5958 00576  001
00047.4865 -0002.4857 00582  001
00047.9778 -0002.3773 00588  001
00048.4691 -0002.2806 00594  001
00048.9604 -0002.1854 00600  001
00049.4517 -0002.0941 00606  001
00049.9430 -0002.0047 00612  001
00050.4343 -0001.9162 00618  001
00050.9256 -0001.8353 00624  001
00051.4169 -0001.7496 00630  001
00051.9082 -0001.6733 00636  001
00052.3995 -0001.6010 00642  001
00052.8908 -0001.5204 00648  001
00053.3821 -0001.4502 00654  001
00053.8734 -0001.3803 00660  001
00054.3647 -0001.3135 00666  001
00054.8560 -0001.2506 00672  001
00055.3474 -0001.1865 00678  001
00055.8387 -0001.1316 00684  001
00056.3300 -0001.0727 00690  001
00056.8213 -0001.0217 00696  001
00057.3126 -0000.9711 00702  001
00057.8039 -0000.9201 00708  001
00058.2952 -0000.8716 00714  001
00058.7865 -0000.8292 00720  001
00059.2778 -0000.7852 00726  001
00059.7691 -0000.7468 00732  001
00060.2604 -0000.7053 00738  001
00060.7517 -0000.6723 00744  001
00061.2430 -0000.6342 00750  001
00061.7343 -0000.6003 00756  001
00062.2256 -0000.5688 00762  001
00062.7169 -0000.5380 00768  001
00063.2082 -0000.5081 00774  001
00063.6995 -0000.4773 00780  001
00064.1908 -0000.4492 00786  001
00064.6821 -0000.4233 00792  001
00065.1734 -0000.3983 00798  001
00065.6647 -0000.3766 00804  001
00066.1560 -0000.3543 00810  001
00066.6473 -0000.3375 00816  001
00067.1386 -0000.3162 00822  001
00067.6299 -0000.2930 00828  001
00068.1212 -0000.2759 00834  001
00068.6125 -0000.2570 00840  001
00069.1038 -0000.2399 00846  001
00069.5951 -0000.2255 00852  001
00070.0864 -0000.2075 00858  001
00070.5777 -0000.1935 00864  001
00071.0690 -0000.1779 00870  001
00071.5603 -0000.1636 00876  001
00072.0516 -0000.1465 00882  001
00072.5430 -0000.1334 00888  001
00073.0343 -0000.1212 00894  001
00073.5256 -0000.1074 00900  001
00074.0169 -0000.1001 00906  001
00074.5082 -0000.0894 00912  001
00074.9995 -0000.0815 00918  001
00075.4908 -0000.0717 00924  001
00075.9821 -0000.0620 00930  001
00076.4734 -0000.0510 00936  001
00076.9647 -0000.0433 00942  001
00077.4560 -0000.0372 00948  001
00077.9473 -0000.0256 00954  001
00078.4386 -0000.0159 00960  001
00078.9299 -0000.0067 00966  001
00079.4212 -0000.0012 00972  001
00079.9125 0000.0052 00978  001
00080.4038 0000.0134 00984  001
00080.8951 0000.0235 00990  001
00081.3864 0000.0259 00996  001
