"Dataset 163336 average 1-40 - C:\Program Files\Shimadzu\UVProbe\Data\sample.spc"
"Wavelength nm."	"R%"
240.00	37.589
242.00	38.627
244.00	39.716
246.00	41.096
248.00	41.924
250.00	43.267
252.00	44.097
254.00	44.865
256.00	45.761
258.00	46.802
260.00	47.348
262.00	48.060
264.00	48.586
266.00	49.346
268.00	49.970
270.00	50.384
272.00	51.225
274.00	51.262
276.00	52.068
278.00	52.823
280.00	52.856
282.00	53.380
284.00	54.254
286.00	55.039
288.00	55.586
290.00	56.242
292.00	57.112
294.00	57.121
296.00	57.403
298.00	57.753
300.00	57.397
302.00	57.818
304.00	57.941
306.00	57.593
308.00	57.972
310.00	58.186
312.00	58.214
314.00	58.594
316.00	58.548
318.00	58.159
320.00	58.595
322.00	59.025
324.00	58.738
326.00	59.044
328.00	59.404
330.00	59.736
332.00	59.805
334.00	60.167
336.00	60.613
338.00	61.007
340.00	61.007
342.00	61.503
344.00	61.827
346.00	62.066
348.00	62.573
350.00	63.252
352.00	63.851
354.00	64.360
356.00	65.303
358.00	65.553
360.00	66.744
362.00	67.858
364.00	68.756
366.00	69.451
368.00	70.275
370.00	70.587
372.00	71.436
374.00	71.185
376.00	71.251
378.00	71.437
380.00	71.202
382.00	71.424
384.00	71.061
386.00	70.895
388.00	70.645
390.00	70.703
392.00	70.476
394.00	70.282
396.00	70.094
398.00	70.085
400.00	69.943
402.00	70.014
404.00	69.815
406.00	69.826
408.00	69.600
410.00	69.383
412.00	69.209
414.00	69.162
416.00	69.105
418.00	69.077
420.00	68.849
422.00	68.597
424.00	68.663
426.00	68.536
428.00	68.323
430.00	68.082
432.00	68.068
434.00	67.792
436.00	67.671
438.00	67.588
440.00	67.387
442.00	67.557
444.00	67.374
446.00	67.064
448.00	67.080
450.00	66.887
452.00	66.653
454.00	66.528
456.00	66.549
458.00	66.401
460.00	66.376
462.00	66.184
464.00	66.171
466.00	65.991
468.00	65.928
470.00	65.916
472.00	65.870
474.00	65.922
476.00	65.785
478.00	65.604
480.00	65.747
482.00	65.765
484.00	65.777
486.00	65.829
488.00	65.826
490.00	65.660
492.00	65.945
494.00	65.886
496.00	66.044
498.00	66.177
500.00	66.404
502.00	66.458
504.00	66.710
506.00	66.775
508.00	66.829
510.00	67.393
512.00	67.175
514.00	67.428
516.00	67.665
518.00	67.807
520.00	67.988
522.00	68.078
524.00	68.448
526.00	68.506
528.00	68.844
530.00	68.800
532.00	69.200
534.00	69.322
536.00	69.499
538.00	69.777
540.00	69.792
542.00	70.056
544.00	70.048
546.00	70.288
548.00	70.522
550.00	70.742
552.00	70.732
554.00	71.066
556.00	71.265
558.00	71.324
560.00	71.573
562.00	71.718
564.00	71.796
566.00	71.927
568.00	72.082
